dataset,condition,classifier,GM,Kappa,MCC,F1,Precision,Recall
qsar,SMOTE,NB,0.7633860794828464,0.48182691638137015,0.5336479064450799,0.7005609657038241,0.5626217123691328,0.9313492063492064
qsar,SMOTE,RF,0.8487960075779045,0.711984462332189,0.7141889245313373,0.8064902614170226,0.8291723564559197,0.7885079365079365
qsar,SMOTE,SGD-LR,0.7850337784808019,0.5989220534942907,0.6238109885488763,0.7290070411645734,0.7648477063374781,0.7581111111111112
qsar,SMOTE,SVM,0.8124176585983939,0.5857000997842691,0.6012952445500719,0.7442305947750301,0.659299156628635,0.8583174603174604
qsar,SMOTE,XGBoost,0.8450459931322197,0.701858816617082,0.7040982587725826,0.8003647154402916,0.8174800153658933,0.7879999999999999
stamps,Original,AdaBoost,0.3986936331800242,0.5690835655197737,0.3789926452919316,0.37666666666666665,0.36666666666666664,0.4
stamps,Original,CART,0.3183684082535428,0.4363211588443235,0.29223814549807003,0.29,0.27666666666666667,0.32
stamps,Original,GB,0.3190188581065056,0.45740152775077936,0.30441381175245996,0.30333333333333334,0.2966666666666667,0.32
stamps,Original,KNN,0.0,-0.0037173579109062915,-0.0026021505376344054,0.0,0.0,0.0
stamps,Original,NB,0.5986991002940744,0.8173913043478261,0.5756486674912202,0.5733333333333334,0.56,0.6
stamps,Original,RF,0.3983684082535428,0.5585433810665457,0.37290481216473664,0.37,0.35666666666666663,0.4
stamps,Original,SGD-LR,0.31835747478502774,0.40924139044311814,0.29067928066284227,0.29,0.27666666666666667,0.32
stamps,Original,SVM,0.0,0.0,0.0,0.0,0.0,0.0
stamps,Original,XGBoost,0.3780431833270614,0.5177001663102875,0.3468169790375417,0.3433333333333334,0.32666666666666666,0.38
stamps,RN-SMOTE,AdaBoost,0.3983574747850277,0.5575510603301463,0.37225191974468524,0.37,0.35666666666666663,0.4
stamps,RN-SMOTE,CART,0.3983684082535428,0.5575332800564448,0.37223814549807005,0.37,0.35666666666666663,0.4
stamps,RN-SMOTE,GB,0.3990188581065056,0.5796237499730016,0.38508047841912657,0.38333333333333336,0.37666666666666665,0.4
stamps,RN-SMOTE,KNN,0.5947070932032004,0.6037609588904154,0.5203640912032379,0.5113333333333333,0.475,0.6
stamps,RN-SMOTE,NB,0.5586991002940743,0.760248447204969,0.5356486674912202,0.5333333333333333,0.52,0.56
stamps,RN-SMOTE,RF,0.4783684082535428,0.6797555022786669,0.45290481216473666,0.45,0.43666666666666665,0.48
